"numProiezione","numFila","numPosto","dataVendita","prezzo"
"7","1","158","2023-12-15","11.00"
"9","9","59","2023-12-06","17.00"
"11","2","7","2024-04-25","39.00"
"11","10","40","2023-08-09","27.00"
"12","6","42","2023-05-30","33.00"
"13","1","43","2023-12-24","25.00"
"13","8","46","2023-08-04","34.00"
"14","10","113","2023-07-22","23.00"
"15","1","150","2024-04-19","50.00"
"16","8","25","2023-06-02","5.00"
"17","2","50","2023-12-02","21.00"
"18","10","5","2023-06-24","5.00"
"20","2","54","2023-06-18","25.00"
"20","4","124","2024-02-29","47.00"
"20","7","30","2024-03-21","44.00"
"22","5","60","2023-12-03","9.00"
"25","4","61","2024-03-17","34.00"
"25","7","157","2023-08-23","31.00"
"27","3","104","2024-03-26","40.00"
"28","3","48","2023-08-19","24.00"
"28","4","40","2024-01-22","13.00"
"28","6","33","2024-01-06","8.00"
"32","4","129","2023-07-27","22.00"
"33","5","105","2023-07-03","38.00"
"34","1","156","2024-04-08","40.00"
"34","9","140","2023-08-07","43.00"
"35","9","87","2024-02-15","28.00"
"38","10","97","2024-01-31","34.00"
"39","4","143","2024-01-16","7.00"
"39","6","48","2023-09-21","9.00"
"39","8","58","2024-04-29","35.00"
"40","6","137","2023-06-26","38.00"
"42","1","109","2023-09-14","40.00"
"42","2","137","2023-07-05","26.00"
"42","6","29","2023-07-06","37.00"
"43","2","120","2024-04-12","48.00"
"45","9","108","2023-10-01","23.00"
"45","10","11","2023-07-28","37.00"
"46","9","55","2023-09-19","15.00"
"49","2","68","2023-10-11","28.00"
"51","2","5","2024-03-31","26.00"
"53","4","146","2024-03-11","41.00"
"55","7","67","2023-05-17","37.00"
"58","8","88","2024-04-25","14.00"
"61","2","72","2023-07-14","50.00"
"62","8","118","2023-11-27","47.00"
"62","10","96","2023-07-05","15.00"
"65","7","11","2023-07-11","20.00"
"67","9","100","2023-12-14","50.00"
"67","10","117","2023-12-06","23.00"
"68","1","59","2023-10-13","49.00"
"72","4","14","2023-07-29","41.00"
"72","10","81","2024-02-05","42.00"
"73","3","104","2023-05-30","38.00"
"75","2","144","2023-07-14","41.00"
"78","9","89","2024-03-27","22.00"
"78","10","14","2023-11-24","5.00"
"80","2","108","2023-07-23","40.00"
"80","7","63","2023-06-09","22.00"
"80","7","144","2023-12-30","12.00"
"80","8","150","2024-04-05","31.00"
"81","5","93","2023-11-21","32.00"
"81","7","156","2023-05-20","5.00"
"83","1","103","2023-12-18","37.00"
"83","2","96","2024-03-03","35.00"
"83","2","150","2024-02-17","47.00"
"85","2","24","2024-03-06","32.00"
"85","2","32","2024-04-01","17.00"
"85","3","142","2023-10-09","20.00"
"86","3","133","2023-12-21","38.00"
"86","4","15","2024-03-05","13.00"
"88","7","99","2023-05-21","17.00"
"89","3","151","2023-09-13","19.00"
"89","10","30","2023-09-18","28.00"
"90","1","21","2024-02-25","29.00"
"90","1","136","2024-03-11","38.00"
"90","3","49","2023-12-22","32.00"
"90","9","79","2023-12-20","42.00"
"91","9","47","2024-04-20","23.00"
"92","5","121","2023-11-08","11.00"
"94","9","15","2023-09-25","11.00"
"95","8","35","2023-12-09","20.00"
"96","1","52","2023-07-23","50.00"
"96","9","118","2023-09-14","5.00"
"97","1","136","2023-07-01","11.00"
"97","5","152","2023-09-01","32.00"
"100","2","125","2024-03-01","22.00"
"100","4","28","2023-12-23","26.00"
"100","7","144","2023-05-08","12.00"
"101","3","115","2023-05-30","24.00"
"101","5","153","2023-11-19","40.00"
"101","10","159","2023-05-31","33.00"
"106","3","112","2024-02-13","30.00"
"108","6","77","2023-06-19","49.00"
"108","6","94","2023-12-31","46.00"
"108","9","11","2023-12-14","42.00"
"109","1","55","2023-12-06","27.00"
"110","5","76","2023-12-05","11.00"
"110","6","29","2024-04-29","50.00"
"111","7","106","2024-01-28","7.00"
"111","7","142","2024-01-03","50.00"
"111","7","156","2023-12-12","17.00"
"112","1","106","2024-04-01","44.00"
"112","10","58","2024-02-16","39.00"
"113","7","47","2024-02-09","48.00"
"114","3","160","2023-06-08","35.00"
"114","4","143","2024-01-08","22.00"
"114","5","145","2023-06-10","20.00"
"114","6","103","2024-03-29","17.00"
"114","7","94","2024-02-27","43.00"
"115","5","56","2024-01-09","30.00"
"115","9","34","2023-11-06","23.00"
"117","1","159","2023-07-10","40.00"
"118","2","82","2023-07-09","46.00"
